Date,State,Confirmed,Death,Recovered,State_name
01-Aug-20,AN,88,2,12,Andaman and Nicobar Islands
01-Aug-20,AS,1457,3,1085,Assam
01-Aug-20,CH,28,3,16,Chandigarh
01-Aug-20,CT,235,1,380,Chhattisgarh
01-Aug-20,DL,1118,26,1201,Delhi
01-Aug-20,GA,280,3,227,Goa
01-Aug-20,GJ,1136,24,875,Gujarat
01-Aug-20,HR,793,7,853,Haryana
01-Aug-20,JH,790,8,170,Jharkhand
01-Aug-20,JK,613,11,654,Jammu and Kashmir
01-Aug-20,KL,1129,8,752,Kerala
01-Aug-20,MN,135,1,10,Manipur
01-Aug-20,MP,808,9,698,Madhya Pradesh
01-Aug-20,OR,1602,11,756,Odisha
01-Aug-20,PB,944,19,341,Punjab
01-Aug-20,PY,134,2,98,Puducherry
01-Aug-20,RJ,1160,14,823,Rajasthan
01-Aug-20,TG,2083,11,1114,Telangana
01-Aug-20,TR,252,2,136,Tripura
01-Aug-20,UT,264,3,162,Uttarakhand
01-Jul-20,AP,657,6,477,Andhra Pradesh
01-Jul-20,BR,216,5,267,Bihar
01-Jul-20,CT,82,1,53,Chhattisgarh
01-Jul-20,GA,72,1,74,Goa
01-Jul-20,GJ,675,21,368,Gujarat
01-Jul-20,HR,393,4,527,Haryana
01-Jul-20,JK,198,4,134,Jammu and Kashmir
01-Jul-20,KA,1272,7,145,Karnataka
01-Jul-20,KL,151,1,132,Kerala
01-Jul-20,MP,268,9,260,Madhya Pradesh
01-Jul-20,OR,251,1,164,Odisha
01-Jul-20,PB,100,5,122,Punjab
01-Jul-20,RJ,304,8,354,Rajasthan
01-Jul-20,TG,1018,7,788,Telangana
01-Jul-20,UP,564,21,545,Uttar Pradesh
01-Jul-20,WB,611,15,398,West Bengal
01-Jun-20,AP,105,2,34,Andhra Pradesh
01-Jun-20,GJ,423,25,861,Gujarat
01-Jun-20,HR,265,1,7,Haryana
01-Jun-20,JK,155,3,19,Jammu and Kashmir
01-Jun-20,KA,187,1,100,Karnataka
01-Jun-20,KL,57,1,18,Kerala
01-Jun-20,MP,194,8,161,Madhya Pradesh
01-Jun-20,RJ,269,5,181,Rajasthan
01-Jun-20,TG,94,6,63,Telangana
01-Jun-20,TN,1162,11,413,Tamil Nadu
01-Jun-20,UP,286,5,187,Uttar Pradesh
01-Jun-20,WB,271,8,149,West Bengal
01-May-20,AP,60,2,82,Andhra Pradesh
01-May-20,BR,41,1,14,Bihar
01-May-20,DL,223,2,73,Delhi
01-May-20,GJ,326,22,123,Gujarat
01-May-20,MH,1008,26,106,Maharashtra
01-May-20,MP,90,8,42,Madhya Pradesh
01-May-20,RJ,82,4,223,Rajasthan
01-May-20,TN,203,1,54,Tamil Nadu
01-May-20,UP,117,2,103,Uttar Pradesh
01-May-20,WB,37,8,15,West Bengal
02-Apr-20,DL,141,2,2,Delhi
02-Apr-20,GJ,1,1,5,Gujarat
02-Apr-20,MH,88,8,3,Maharashtra
02-Aug-20,AN,98,1,16,Andaman and Nicobar Islands
02-Aug-20,AS,1178,4,942,Assam
02-Aug-20,CH,38,1,15,Chandigarh
02-Aug-20,CT,181,3,381,Chhattisgarh
02-Aug-20,DL,961,15,1186,Delhi
02-Aug-20,GA,337,5,230,Goa
02-Aug-20,GJ,1101,22,805,Gujarat
02-Aug-20,HR,761,5,610,Haryana
02-Aug-20,JH,455,4,169,Jharkhand
02-Aug-20,JK,444,8,256,Jammu and Kashmir
02-Aug-20,KL,1169,1,688,Kerala
02-Aug-20,MN,75,1,38,Manipur
02-Aug-20,MP,921,10,581,Madhya Pradesh
02-Aug-20,OR,1434,11,681,Odisha
02-Aug-20,PB,790,18,391,Punjab
02-Aug-20,PY,200,1,111,Puducherry
02-Aug-20,RJ,1167,12,548,Rajasthan
02-Aug-20,TG,1891,10,1088,Telangana
02-Aug-20,TR,141,4,142,Tripura
02-Aug-20,UT,146,3,107,Uttarakhand
02-Jul-20,AP,845,5,325,Andhra Pradesh
02-Jul-20,AS,479,2,275,Assam
02-Jul-20,BR,478,5,183,Bihar
02-Jul-20,GJ,681,19,563,Gujarat
02-Jul-20,HR,568,11,520,Haryana
02-Jul-20,JK,154,10,118,Jammu and Kashmir
